Size;Time_sec
0;0.000000000
100000;0.005000000
200000;0.009700000
300000;0.014900000
400000;0.019900000
500000;0.022550000
600000;0.029800000
700000;0.033300000
800000;0.034200000
900000;0.039650000
1000000;0.049300000
