Size;Time_sec
0;0.000000000
100000;0.004750000
200000;0.009700000
300000;0.014250000
400000;0.017250000
500000;0.022850000
600000;0.027000000
700000;0.033450000
800000;0.039250000
900000;0.039300000
1000000;0.044700000
