Size;Time_sec
0;0.000000000
100000;0.008550000
200000;0.017600000
300000;0.028300000
400000;0.030900000
500000;0.040350000
600000;0.047700000
700000;0.056500000
800000;0.063150000
900000;0.072300000
1000000;0.080650000
