Size;Time_sec
0;0.000000000
100000;0.008400000
200000;0.016900000
300000;0.029100000
400000;0.031900000
500000;0.040050000
600000;0.048100000
700000;0.057300000
800000;0.064650000
900000;0.074500000
1000000;0.081600000
