Size;Time_sec
0;0.000000000
100000;0.021000000
200000;0.042350000
300000;0.064500000
400000;0.085100000
500000;0.105050000
600000;0.132650000
700000;0.155300000
800000;0.170900000
900000;0.197550000
1000000;0.217900000
